image,blur_level,retained_ucas
bike6.jpg,20,10
bike6.jpg,25,5
bike6.jpg,30,9
bike6.jpg,35,5
bike6.jpg,40,11
bike6.jpg,45,9
bike6.jpg,50,7
bike6.jpg,55,15
bike6.jpg,60,12
bike6.jpg,65,17
bike6.jpg,70,0
bike6.jpg,75,12
bike6.jpg,80,14
bike6.jpg,85,12
bike6.jpg,90,13
bike6.jpg,95,4
bike6.jpg,100,3
SoftRainNoon1.png,0,18
SoftRainNoon1.png,5,16
SoftRainNoon1.png,10,18
SoftRainNoon1.png,15,12
SoftRainNoon1.png,20,17
SoftRainNoon1.png,25,17
SoftRainNoon1.png,30,10
SoftRainNoon1.png,35,15
SoftRainNoon1.png,40,16
SoftRainNoon1.png,45,14
SoftRainNoon1.png,50,11
SoftRainNoon1.png,55,16
SoftRainNoon1.png,60,13
SoftRainNoon1.png,65,18
SoftRainNoon1.png,70,7
SoftRainNoon1.png,75,12
SoftRainNoon1.png,80,9
SoftRainNoon1.png,85,16
SoftRainNoon1.png,90,5
SoftRainNoon1.png,95,21
SoftRainNoon1.png,100,0
bike0.jpg,0,13
bike0.jpg,5,17
bike0.jpg,10,12
bike0.jpg,15,13
bike0.jpg,20,15
bike0.jpg,25,11
bike0.jpg,30,13
bike0.jpg,35,11
bike0.jpg,40,13
bike0.jpg,45,26
bike0.jpg,50,17
bike0.jpg,55,18
bike0.jpg,60,15
bike0.jpg,65,16
bike0.jpg,70,4
bike0.jpg,75,14
bike0.jpg,80,16
bike0.jpg,85,9
bike0.jpg,90,21
bike0.jpg,95,18
bike0.jpg,100,8
WetCloudySunset4.png,0,15
WetCloudySunset4.png,5,18
WetCloudySunset4.png,10,18
WetCloudySunset4.png,15,10
WetCloudySunset4.png,20,6
WetCloudySunset4.png,25,19
WetCloudySunset4.png,30,12
WetCloudySunset4.png,35,17
WetCloudySunset4.png,40,19
WetCloudySunset4.png,45,11
WetCloudySunset4.png,50,8
WetCloudySunset4.png,55,23
WetCloudySunset4.png,60,13
WetCloudySunset4.png,65,6
WetCloudySunset4.png,70,15
WetCloudySunset4.png,75,9
WetCloudySunset4.png,80,5
WetCloudySunset4.png,85,18
WetCloudySunset4.png,90,10
WetCloudySunset4.png,95,12
WetCloudySunset4.png,100,7
imageblur_demo2.png,0,11
imageblur_demo2.png,5,18
imageblur_demo2.png,10,8
imageblur_demo2.png,15,14
imageblur_demo2.png,20,8
imageblur_demo2.png,25,14
imageblur_demo2.png,30,9
imageblur_demo2.png,35,14
imageblur_demo2.png,40,5
imageblur_demo2.png,45,2
imageblur_demo2.png,50,11
imageblur_demo2.png,55,12
imageblur_demo2.png,60,16
imageblur_demo2.png,65,5
imageblur_demo2.png,70,16
imageblur_demo2.png,75,7
imageblur_demo2.png,80,16
imageblur_demo2.png,85,16
imageblur_demo2.png,90,8
imageblur_demo2.png,95,7
imageblur_demo2.png,100,10
motobike1.jpg,0,15
motobike1.jpg,5,9
motobike1.jpg,10,13
motobike1.jpg,15,17
motobike1.jpg,20,19
motobike1.jpg,25,17
motobike1.jpg,30,17
motobike1.jpg,35,21
motobike1.jpg,40,23
motobike1.jpg,45,21
motobike1.jpg,50,29
motobike1.jpg,55,13
motobike1.jpg,60,11
motobike1.jpg,65,22
motobike1.jpg,70,24
motobike1.jpg,75,24
motobike1.jpg,80,24
motobike1.jpg,85,21
motobike1.jpg,90,16
motobike1.jpg,95,22
motobike1.jpg,100,10
WetCloudyNoon3.png,0,16
WetCloudyNoon3.png,5,14
WetCloudyNoon3.png,10,14
WetCloudyNoon3.png,15,16
WetCloudyNoon3.png,20,15
WetCloudyNoon3.png,25,19
WetCloudyNoon3.png,30,16
WetCloudyNoon3.png,35,13
WetCloudyNoon3.png,40,15
WetCloudyNoon3.png,45,12
WetCloudyNoon3.png,50,13
WetCloudyNoon3.png,55,8
WetCloudyNoon3.png,60,10
WetCloudyNoon3.png,65,14
WetCloudyNoon3.png,70,10
WetCloudyNoon3.png,75,11
WetCloudyNoon3.png,80,13
WetCloudyNoon3.png,85,0
WetCloudyNoon3.png,90,12
WetCloudyNoon3.png,95,0
WetCloudyNoon3.png,100,15
ClearNoon0.png,0,10
ClearNoon0.png,5,15
ClearNoon0.png,10,15
ClearNoon0.png,15,25
ClearNoon0.png,20,12
ClearNoon0.png,25,12
ClearNoon0.png,30,16
ClearNoon0.png,35,14
ClearNoon0.png,40,11
ClearNoon0.png,45,12
ClearNoon0.png,50,12
ClearNoon0.png,55,2
ClearNoon0.png,60,24
ClearNoon0.png,65,9
ClearNoon0.png,70,15
ClearNoon0.png,75,8
ClearNoon0.png,80,14
ClearNoon0.png,85,10
ClearNoon0.png,90,25
ClearNoon0.png,95,13
ClearNoon0.png,100,12
trafficsign3.jpg,0,4
trafficsign3.jpg,5,16
trafficsign3.jpg,10,10
trafficsign3.jpg,15,12
trafficsign3.jpg,20,17
trafficsign3.jpg,25,14
trafficsign3.jpg,30,16
trafficsign3.jpg,35,17
trafficsign3.jpg,40,20
trafficsign3.jpg,45,22
trafficsign3.jpg,50,13
trafficsign3.jpg,55,16
trafficsign3.jpg,60,13
trafficsign3.jpg,65,15
trafficsign3.jpg,70,12
trafficsign3.jpg,75,20
trafficsign3.jpg,80,13
trafficsign3.jpg,85,23
trafficsign3.jpg,90,13
trafficsign3.jpg,95,12
trafficsign3.jpg,100,11
motobike2.jpg,0,14
motobike2.jpg,5,14
motobike2.jpg,10,15
motobike2.jpg,15,4
motobike2.jpg,20,11
motobike2.jpg,25,5
motobike2.jpg,30,22
motobike2.jpg,35,7
motobike2.jpg,40,11
motobike2.jpg,45,20
motobike2.jpg,50,17
motobike2.jpg,55,20
motobike2.jpg,60,9
motobike2.jpg,65,19
motobike2.jpg,70,13
motobike2.jpg,75,10
motobike2.jpg,80,12
motobike2.jpg,85,18
motobike2.jpg,90,13
motobike2.jpg,95,11
motobike2.jpg,100,15
WetNoon1.png,0,12
WetNoon1.png,5,6
WetNoon1.png,10,16
WetNoon1.png,15,13
WetNoon1.png,20,14
WetNoon1.png,25,14
WetNoon1.png,30,16
WetNoon1.png,35,16
WetNoon1.png,40,9
WetNoon1.png,45,12
WetNoon1.png,50,19
WetNoon1.png,55,11
WetNoon1.png,60,18
WetNoon1.png,65,12
WetNoon1.png,70,10
WetNoon1.png,75,12
WetNoon1.png,80,13
WetNoon1.png,85,10
WetNoon1.png,90,18
WetNoon1.png,95,16
WetNoon1.png,100,0
WetCloudySunset2.png,0,16
WetCloudySunset2.png,5,19
WetCloudySunset2.png,10,14
WetCloudySunset2.png,15,10
WetCloudySunset2.png,20,7
WetCloudySunset2.png,25,17
WetCloudySunset2.png,30,8
WetCloudySunset2.png,35,15
WetCloudySunset2.png,40,14
WetCloudySunset2.png,45,17
WetCloudySunset2.png,50,12
WetCloudySunset2.png,55,11
WetCloudySunset2.png,60,13
WetCloudySunset2.png,65,20
WetCloudySunset2.png,70,19
WetCloudySunset2.png,75,0
WetCloudySunset2.png,80,14
WetCloudySunset2.png,85,15
WetCloudySunset2.png,90,13
WetCloudySunset2.png,95,7
WetCloudySunset2.png,100,13
trafficlight5.jpg,0,20
trafficlight5.jpg,5,11
trafficlight5.jpg,10,12
trafficlight5.jpg,15,16
trafficlight5.jpg,20,13
trafficlight5.jpg,25,11
trafficlight5.jpg,30,14
trafficlight5.jpg,35,11
trafficlight5.jpg,40,5
trafficlight5.jpg,45,0
trafficlight5.jpg,50,0
trafficlight5.jpg,55,15
trafficlight5.jpg,60,6
trafficlight5.jpg,65,14
trafficlight5.jpg,70,8
trafficlight5.jpg,75,12
trafficlight5.jpg,80,15
trafficlight5.jpg,85,15
trafficlight5.jpg,90,8
trafficlight5.jpg,95,1
trafficlight5.jpg,100,18
HardRainSunset0.png,0,18
HardRainSunset0.png,5,7
HardRainSunset0.png,10,12
HardRainSunset0.png,15,8
HardRainSunset0.png,20,14
HardRainSunset0.png,25,5
HardRainSunset0.png,30,9
HardRainSunset0.png,35,10
HardRainSunset0.png,40,6
HardRainSunset0.png,45,13
HardRainSunset0.png,50,11
HardRainSunset0.png,55,11
HardRainSunset0.png,60,8
HardRainSunset0.png,65,9
HardRainSunset0.png,70,11
HardRainSunset0.png,75,20
HardRainSunset0.png,80,13
HardRainSunset0.png,85,18
HardRainSunset0.png,90,15
HardRainSunset0.png,95,4
HardRainSunset0.png,100,13
imageblur_demo1.jpg,0,22
imageblur_demo1.jpg,5,22
imageblur_demo1.jpg,10,18
imageblur_demo1.jpg,15,18
imageblur_demo1.jpg,20,16
imageblur_demo1.jpg,25,16
imageblur_demo1.jpg,30,16
imageblur_demo1.jpg,35,19
imageblur_demo1.jpg,40,20
imageblur_demo1.jpg,45,20
imageblur_demo1.jpg,50,19
imageblur_demo1.jpg,55,17
imageblur_demo1.jpg,60,16
imageblur_demo1.jpg,65,21
imageblur_demo1.jpg,70,20
imageblur_demo1.jpg,75,22
imageblur_demo1.jpg,80,21
imageblur_demo1.jpg,85,22
imageblur_demo1.jpg,90,20
imageblur_demo1.jpg,95,18
imageblur_demo1.jpg,100,9
trafficlight1.jpg,0,22
trafficlight1.jpg,5,20
trafficlight1.jpg,10,18
trafficlight1.jpg,15,25
trafficlight1.jpg,20,26
trafficlight1.jpg,25,12
trafficlight1.jpg,30,0
trafficlight1.jpg,35,16
trafficlight1.jpg,40,16
trafficlight1.jpg,45,20
trafficlight1.jpg,50,19
trafficlight1.jpg,55,20
trafficlight1.jpg,60,8
trafficlight1.jpg,65,21
trafficlight1.jpg,70,19
trafficlight1.jpg,75,16
trafficlight1.jpg,80,14
trafficlight1.jpg,85,16
trafficlight1.jpg,90,10
trafficlight1.jpg,95,17
trafficlight1.jpg,100,18
